trade_id,timestamp,symbol,side,quantity,price,trader_id,venue
# --- INVALID trade_id: not UUID v4 format ---
not-a-uuid-at-all,2024-03-15T10:10:00Z,AAPL,BUY,100,172.45,TDR001,NASDAQ
# --- INVALID trade_id: UUID v1 (version nibble = 1, not 4) ---
550e8400-e29b-11d4-a716-446655440099,2024-03-15T10:11:00Z,MSFT,SELL,200,415.20,TDR002,NYSE
# --- INVALID timestamp: wrong format (US date format) ---
550e8400-e29b-41d4-a716-446655442003,03/15/2024 10:12:00,GOOGL,BUY,300,141.75,TDR003,NASDAQ
# --- INVALID timestamp: missing Z suffix ---
550e8400-e29b-41d4-a716-446655442004,2024-03-15T10:13:00,AMZN,BUY,400,178.90,TDR001,NYSE
# --- INVALID symbol: lowercase ---
550e8400-e29b-41d4-a716-446655442005,2024-03-15T10:14:00Z,aapl,BUY,500,172.45,TDR004,NASDAQ
# --- INVALID symbol: too long (6 chars) ---
550e8400-e29b-41d4-a716-446655442006,2024-03-15T10:15:00Z,TOOLNG,SELL,150,50.00,TDR005,BATS
# --- INVALID symbol: contains number ---
550e8400-e29b-41d4-a716-446655442007,2024-03-15T10:16:00Z,AAP1,BUY,200,172.00,TDR006,NYSE
# --- INVALID side: not BUY or SELL ---
550e8400-e29b-41d4-a716-446655442008,2024-03-15T10:17:00Z,TSLA,HOLD,300,175.30,TDR007,NASDAQ
# --- INVALID side: numeric ---
550e8400-e29b-41d4-a716-446655442009,2024-03-15T10:18:00Z,NVDA,1,400,875.50,TDR008,BATS
# --- INVALID quantity: negative ---
550e8400-e29b-41d4-a716-446655442010,2024-03-15T10:19:00Z,META,BUY,-100,505.25,TDR009,NYSE
# --- INVALID quantity: zero ---
550e8400-e29b-41d4-a716-446655442011,2024-03-15T10:20:00Z,AAPL,SELL,0,172.80,TDR010,NASDAQ
# --- INVALID quantity: exceeds maximum (1,000,001) ---
550e8400-e29b-41d4-a716-446655442012,2024-03-15T10:21:00Z,MSFT,BUY,1000001,415.00,TDR001,NYSE
# --- INVALID quantity: float instead of integer ---
550e8400-e29b-41d4-a716-446655442013,2024-03-15T10:22:00Z,AMZN,SELL,100.5,178.90,TDR002,NASDAQ
# --- INVALID price: negative ---
550e8400-e29b-41d4-a716-446655442014,2024-03-15T10:23:00Z,TSLA,BUY,200,-175.30,TDR003,NASDAQ
# --- INVALID price: zero ---
550e8400-e29b-41d4-a716-446655442015,2024-03-15T10:24:00Z,NVDA,SELL,300,0,TDR004,BATS
# --- INVALID price: too many decimal places (5dp) ---
550e8400-e29b-41d4-a716-446655442016,2024-03-15T10:25:00Z,META,BUY,400,505.12345,TDR005,NYSE
# --- INVALID price: exceeds maximum ---
550e8400-e29b-41d4-a716-446655442017,2024-03-15T10:26:00Z,AAPL,SELL,500,1000001.00,TDR006,NASDAQ
# --- INVALID trader_id: too short (3 chars) ---
550e8400-e29b-41d4-a716-446655442018,2024-03-15T10:27:00Z,MSFT,BUY,100,415.20,TD,NYSE
# --- INVALID trader_id: contains special characters ---
550e8400-e29b-41d4-a716-446655442019,2024-03-15T10:28:00Z,AMZN,SELL,200,178.90,TDR-001,NASDAQ
# --- INVALID venue: unknown ---
550e8400-e29b-41d4-a716-446655442020,2024-03-15T10:29:00Z,TSLA,BUY,300,175.30,TDR007,UNKNOWN
# --- INVALID venue: misspelled ---
550e8400-e29b-41d4-a716-446655442021,2024-03-15T10:30:00Z,NVDA,SELL,400,875.50,TDR008,NASDA
