trade_id,timestamp,symbol,side,quantity,price,trader_id,venue
# --- MISSING trade_id ---
,2024-03-15T10:00:00Z,AAPL,BUY,100,172.45,TDR001,NASDAQ
# --- MISSING timestamp ---
550e8400-e29b-41d4-a716-446655441001,,MSFT,SELL,200,415.20,TDR002,NYSE
# --- MISSING symbol ---
550e8400-e29b-41d4-a716-446655441002,2024-03-15T10:02:00Z,,BUY,300,141.75,TDR003,NASDAQ
# --- MISSING side ---
550e8400-e29b-41d4-a716-446655441003,2024-03-15T10:03:00Z,AMZN,,400,178.90,TDR001,NYSE
# --- MISSING quantity ---
550e8400-e29b-41d4-a716-446655441004,2024-03-15T10:04:00Z,TSLA,BUY,,175.30,TDR004,NASDAQ
# --- MISSING price ---
550e8400-e29b-41d4-a716-446655441005,2024-03-15T10:05:00Z,NVDA,SELL,150,,TDR005,BATS
# --- MISSING trader_id ---
550e8400-e29b-41d4-a716-446655441006,2024-03-15T10:06:00Z,META,BUY,500,505.25,,NYSE
# --- MISSING venue ---
550e8400-e29b-41d4-a716-446655441007,2024-03-15T10:07:00Z,AAPL,SELL,200,172.80,TDR006,
# --- MULTIPLE FIELDS MISSING ---
,,MSFT,BUY,,,TDR007,
